Sex,Year,Age group,Mean height,Mean height lower 95% uncertainty interval,Mean height upper 95% uncertainty interval,Mean height standard error
Boys,1985,5,105.6490519,105.1596348,106.172846,0.258115469
Boys,1985,6,111.6353523,111.1906553,112.0782299,0.227526225
Boys,1985,7,117.1894908,116.7784526,117.5956013,0.210784409
Boys,1985,8,122.4381031,122.0544256,122.8256566,0.199455168
Boys,1985,9,127.4997942,127.1315166,127.8855372,0.194521726
Boys,1985,10,132.7080987,132.348384,133.0769871,0.187002286
Boys,1985,11,137.8513967,137.495601,138.2268601,0.186425087
Boys,1985,12,143.6668543,143.3010689,144.0419744,0.191759205
Boys,1985,13,150.399508,150.0130849,150.7887637,0.197734573
Boys,1985,14,156.7003194,156.2964455,157.1092146,0.206760427
Boys,1985,15,161.4480632,161.0307297,161.8567975,0.208374899
Boys,1985,16,164.2988318,163.8607601,164.7396432,0.218638047
Boys,1985,17,166.0332736,165.5774137,166.4934452,0.230721406
Boys,1985,18,167.1201774,166.6286147,167.6044405,0.245360693
Boys,1985,19,168.0335872,167.5101144,168.5473781,0.263851151
Boys,1986,5,105.7089549,105.2188355,106.230249,0.257771695
Boys,1986,6,111.6906906,111.2553551,112.1335593,0.226467242
Boys,1986,7,117.2321211,116.825059,117.6401523,0.208762405
Boys,1986,8,122.4658998,122.0778905,122.8510938,0.196875619
Boys,1986,9,127.5186526,127.1524289,127.897226,0.190496448
Boys,1986,10,132.7328904,132.3822629,133.091282,0.181914793
Boys,1986,11,137.8854045,137.5427371,138.2471206,0.179727145
Boys,1986,12,143.7184985,143.3721728,144.0801588,0.183092555
Boys,1986,13,150.4615566,150.0954945,150.8323428,0.187923629
Boys,1986,14,156.7623189,156.3785206,157.1500584,0.196347955
Boys,1986,15,161.5088041,161.1232622,161.9005357,0.198320336
Boys,1986,16,164.353437,163.9339454,164.7640755,0.207125287
Boys,1986,17,166.0856552,165.6570427,166.5230917,0.216896373
Boys,1986,18,167.1593085,166.7119754,167.6084742,0.227113262
Boys,1986,19,168.0619344,167.5900015,168.5212382,0.236640095
Boys,1987,5,105.769151,105.2760813,106.2894268,0.256751079
Boys,1987,6,111.750492,111.315292,112.1974934,0.225304318
Boys,1987,7,117.287008,116.8884044,117.6912905,0.206834304
Boys,1987,8,122.5080515,122.1266636,122.8893151,0.194085802
Boys,1987,9,127.546407,127.1774867,127.9097097,0.187376729
Boys,1987,10,132.7469113,132.4022916,133.0932506,0.17699179
Boys,1987,11,137.8980576,137.5643627,138.2453585,0.174397368
Boys,1987,12,143.7410066,143.4004249,144.0954254,0.176305275
Boys,1987,13,150.5037844,150.1606326,150.8573118,0.179195938
Boys,1987,14,156.8190871,156.4481749,157.1870364,0.186469991
Boys,1987,15,161.5835416,161.2174461,161.9598269,0.188423967
Boys,1987,16,164.4214483,164.0401385,164.8091019,0.19679357
Boys,1987,17,166.14972,165.7432115,166.5605244,0.204949795
Boys,1987,18,167.222551,166.8048005,167.6428661,0.212967027
Boys,1987,19,168.1111681,167.6843345,168.5399262,0.217812798
Boys,1988,5,105.8269738,105.3353957,106.3446301,0.25553991
Boys,1988,6,111.8116506,111.3838118,112.2585652,0.223396472
Boys,1988,7,117.3477743,116.9533057,117.7481609,0.204812031
Boys,1988,8,122.564185,122.1914335,122.9400704,0.191371525
Boys,1988,9,127.5902892,127.2252759,127.9552902,0.183989009
Boys,1988,10,132.7619849,132.4185086,133.104118,0.173324498
Boys,1988,11,137.9002572,137.5742635,138.2337792,0.169428657
Boys,1988,12,143.7428718,143.4173707,144.0888248,0.170936974
Boys,1988,13,150.5184472,150.1873975,150.8615751,0.172308401
