,Price,Date
0,908.2352,09-10-2019
1,918.9051,25-10-2019
2,973.5398,27-12-2019
3,901.6484,25-11-2019
4,927.2678,18-11-2019
5,918.4813,23-12-2019
6,938.0514,25-11-2019
7,917.7718,10-11-2019
8,989.824,17-11-2019
9,916.421,27-12-2019
10,972.3589,21-11-2019
11,929.1345,08-12-2019
12,959.3292,17-11-2019
13,984.4489,26-10-2019
14,944.6621,12-10-2019
15,934.9773,15-10-2019
16,912.3163,16-10-2019
17,996.4305,09-10-2019
18,918.247,12-12-2019
19,909.7821,12-10-2019
20,977.9909,22-11-2019
21,981.6976,16-11-2019
22,938.698,22-11-2019
23,911.8165,28-12-2019
24,918.5036,07-12-2019
25,961.6322,24-11-2019
26,953.9616,06-12-2019
27,938.819,28-12-2019
28,914.2302,10-11-2019
29,984.4603,09-11-2019
30,995.5631,16-10-2019
31,983.5817,12-11-2019
32,933.364,24-12-2019
33,925.0172,25-11-2019
34,973.4968,16-12-2019
35,988.9361,21-10-2019
36,942.0665,08-10-2019
37,909.7843,19-10-2019
38,985.9344,25-12-2019
39,951.6719,10-10-2019
40,900.5275,16-11-2019
41,949.2276,22-11-2019
42,989.0729,12-12-2019
43,962.5189,27-11-2019
44,907.8491,08-11-2019
45,984.4152,08-10-2019
46,960.5382,28-10-2019
47,936.6901,19-10-2019
48,960.3272,27-10-2019
49,903.2309,08-12-2019
