Price,Date
990.6547,10-11-2019
931.9066,30-12-2019
923.8917,12-12-2019
968.104,19-11-2019
930.9699,03-11-2019
994.5012,22-11-2019
928.1218,03-11-2019
938.6279,15-10-2019
931.8605,27-10-2019
913.4508,02-11-2019
948.3006,01-12-2019
994.6147,14-11-2019
985.2498,06-12-2019
970.2301,26-10-2019
916.9252,24-10-2019
937.5846,12-11-2019
934.4364,30-10-2019
960.2275,13-12-2019
937.7724,10-11-2019
958.6326,30-12-2019
973.0829,08-10-2019
938.6194,24-12-2019
945.3121,28-10-2019
946.368,13-12-2019
977.9163,25-11-2019
997.4567,30-10-2019
938.2008,28-12-2019
972.457,21-12-2019
927.7504,23-12-2019
991.3784,04-11-2019
953.7625,08-11-2019
942.8697,24-12-2019
969.4934,21-11-2019
970.6849,29-10-2019
962.5433,20-12-2019
993.7888,30-12-2019
934.0513,26-11-2019
923.7539,30-10-2019
993.1198,12-12-2019
947.4084,01-12-2019
981.5607,15-12-2019
997.493,29-11-2019
966.7464,16-10-2019
952.596,25-11-2019
937.8026,05-11-2019
902.5696,21-12-2019
906.8752,05-11-2019
961.7444,18-11-2019
942.6332,17-11-2019
912.6657,19-10-2019
